,rank,mean_importance
3mer_freq_5_GCT,119.0,100.35905947834253
3mer_freq_5_GCG,93.0,144.63987503498794
3mer_freq_5_GCC,135.0,75.9376520857215
3mer_freq_5_CAA,125.0,92.20452245771885
3mer_freq_5_CAT,96.0,136.8933830410242
3mer_freq_5_CAG,117.0,103.09384863972664
3mer_freq_5_CAC,148.0,59.12688298970461
3mer_freq_5_CTA,144.0,61.803929848968984
3mer_freq_5_CTT,26.0,323.09632232785225
3mer_freq_5_CTG,97.0,136.76611462533475
3mer_freq_5_CTC,39.0,255.3354215577245
3mer_freq_5_CGA,152.0,51.3790667951107
3mer_freq_5_CGT,66.0,180.72976658046247
3mer_freq_5_CGG,140.0,67.64373384416103
3mer_freq_5_CGC,108.0,117.90327387154102
3mer_freq_5_CCA,150.0,55.19947764277458
3mer_freq_5_CCT,126.0,91.4297627016902
3mer_freq_5_CCG,87.0,154.28994094282388
3mer_freq_5_CCC,99.0,135.6747959792614
