,bio_source,fold,r2_score,pearsonr,spearmanr,mean_squared_error,total_time(sec)
0,mean_te,0,0.5711376228314747,0.7570263695301394,0.758001849560225,0.3347533780377214,208.05774998664856
1,mean_te,1,0.5770724487981277,0.7612091848357594,0.7634941185366444,0.3007027849831679,208.00073528289795
2,mean_te,2,0.5694190860495418,0.7571250485114615,0.7552060841276309,0.34097375072422903,207.3063883781433
3,mean_te,3,0.603057586926989,0.778579345915098,0.7686263945852224,0.3049447016142531,208.11363053321838
4,mean_te,4,0.5873709226670951,0.7676802226466763,0.7645848086112511,0.31817658391433495,207.14739084243774
5,mean_te,5,0.5122479382869459,0.7167525989377797,0.7250487910275348,0.33069879175653605,207.7563726902008
6,mean_te,6,0.6009350540029605,0.7767392441192327,0.7810328469298194,0.2900377417715452,209.73553919792175
7,mean_te,7,0.5820923963384171,0.7636335727970865,0.7564637813792604,0.32726108083840616,208.0793435573578
8,mean_te,8,0.5136509012398491,0.7193363777451482,0.7307782113413063,0.3183359847073468,207.70951390266418
9,mean_te,9,0.5804441195278248,0.7643756507138666,0.7716159886896001,0.3104225278637059,207.91833186149597
10,mean_te,mean,0.5697428076669226,0.7562457615752247,0.7574852874788495,0.3176307326211246,207.98249962329865
