,bio_source,fold,r2_score,pearsonr,spearmanr,mean_squared_error,total_time(sec)
0,mean_te,0,0.4463743210944271,0.6704274574516924,0.6563884743866885,0.5002783939385843,5.345257759094238
1,mean_te,1,0.4395234723549959,0.6635855013842584,0.6461327113438171,0.4480365701903014,5.354247093200684
2,mean_te,2,0.4892529853075388,0.7050536844261837,0.6913799155178466,0.45005144023503046,5.42531418800354
3,mean_te,3,0.4652493825829571,0.6849052819878481,0.6693413899801481,0.44578470970470324,5.339254379272461
4,mean_te,4,0.39299225434928686,0.6293395287797745,0.6306609860497124,0.45825019443145537,5.349090099334717
5,mean_te,5,0.48625467530263167,0.6986531577741155,0.6840996869633527,0.42734845104029556,5.346410274505615
6,mean_te,6,0.4301114097794233,0.6572527126005749,0.6466229493161161,0.4773023210417941,5.353106737136841
7,mean_te,7,0.4576996228756638,0.6787632946395448,0.6636828357394707,0.4953568356562229,5.34284520149231
8,mean_te,8,0.4798812816522341,0.6931080595909268,0.6527390598742636,0.44017997810926,5.443656921386719
9,mean_te,9,0.4679656454223292,0.687338465497098,0.6826694454889858,0.4799239257056434,5.348491668701172
10,mean_te,mean,0.4555305050721488,0.6768427144132017,0.6623717454660402,0.46225128200532906,5.36476743221283
