,bio_source,fold,accuracy_score,f1_score,precision_score,recall_score,roc_auc_score,total_time(sec)
0,bio_source_buffering_category,0,0.9750297265160524,0.3225806451612903,0.7142857142857143,0.20833333333333334,0.6029426764585882,200.25647616386414
1,bio_source_buffering_category,1,0.9750593824228029,0.2758620689655173,1.0,0.16,0.58,200.26197361946106
2,bio_source_buffering_category,2,0.9774346793349169,0.42424242424242425,0.875,0.28,0.6393880048959609,201.0429494380951
3,bio_source_buffering_category,3,0.9750593824228029,0.36363636363636365,0.75,0.24,0.6187760097919216,200.92447471618652
4,bio_source_buffering_category,4,0.9726516052318668,0.20689655172413793,0.75,0.12,0.5593872549019608,201.48371934890747
5,bio_source_buffering_category,5,0.9786223277909739,0.43750000000000006,1.0,0.28,0.64,201.07858967781067
6,bio_source_buffering_category,6,0.9738717339667459,0.3125,0.7142857142857143,0.2,0.5987760097919217,201.41385555267334
7,bio_source_buffering_category,7,0.9798099762470309,0.48484848484848486,1.0,0.32,0.66,201.4170424938202
8,bio_source_buffering_category,8,0.9726840855106889,0.14814814814814814,1.0,0.08,0.54,200.63452887535095
9,bio_source_buffering_category,9,0.9750593824228029,0.36363636363636365,0.75,0.24,0.6187760097919216,199.78945231437683
10,bio_source_buffering_category,mean,0.9755282281866684,0.333985105036273,0.8553571428571429,0.21283333333333335,0.6058045965632275,200.83030622005464
