,bio_source,fold,r2_score,pearsonr,spearmanr,mean_squared_error,total_time(sec)
0,mean_te,0,0.5272099322522457,0.726651527497981,0.7152013310863602,0.3222121752938965,5.4079766273498535
1,mean_te,1,0.5371910371871711,0.7329666853743443,0.7556000765788596,0.29241467092443285,5.391853094100952
2,mean_te,2,0.5899940827636094,0.7720690376119468,0.7674124914231798,0.29622858928919465,5.473796844482422
3,mean_te,3,0.5127807618162366,0.7182270284864778,0.7310790645820548,0.3083774721664237,5.400793790817261
4,mean_te,4,0.5404869865050856,0.7359580192906177,0.7260352489389262,0.3224193865217251,5.38852596282959
5,mean_te,5,0.5573352843288131,0.7471115769193244,0.7477537368535445,0.28403905119214484,5.360815763473511
6,mean_te,6,0.5698921583838459,0.7550983688182411,0.7694059892983932,0.2837614319734755,5.387233257293701
7,mean_te,7,0.5677178957920612,0.7539867584119362,0.7579484649470617,0.29990337981989107,5.390213251113892
8,mean_te,8,0.5207144426283135,0.7226060271016903,0.7194112473879705,0.327931744496272,5.4835731983184814
9,mean_te,9,0.5451674315985277,0.739146130670056,0.7455402033322782,0.2987236255062145,5.383942365646362
10,mean_te,mean,0.546849001325591,0.7403821160182616,0.743538785442863,0.30360115271836713,5.406872415542603
