,rank,mean_importance
3mer_freq_5_GCA,87.0,5.269735411554575
3mer_freq_5_GCT,99.0,4.563018253445625
3mer_freq_5_GCG,72.0,5.813512044399976
3mer_freq_5_GCC,116.0,4.033268031477928
3mer_freq_5_CAA,64.0,6.0687634095549585
3mer_freq_5_CAT,157.0,2.01781217828393
3mer_freq_5_CAG,26.0,12.686351612955331
3mer_freq_5_CAC,45.0,7.679211365431547
3mer_freq_5_CTA,137.0,3.3222016230225564
3mer_freq_5_CTT,27.0,12.683136964589357
3mer_freq_5_CTG,56.0,6.64773605838418
3mer_freq_5_CTC,90.0,5.140288918465376
3mer_freq_5_CGA,144.0,2.8662866607308386
3mer_freq_5_CGT,79.0,5.409507592767477
3mer_freq_5_CGG,63.0,6.07099252268672
3mer_freq_5_CGC,80.0,5.403754307329654
3mer_freq_5_CCA,52.0,7.12906996011734
3mer_freq_5_CCT,136.0,3.3702876068651677
3mer_freq_5_CCG,121.0,3.9293334379792215
3mer_freq_5_CCC,21.0,15.290087132155895
struct_min_dG_UTR5,22.0,15.00495155826211
struct_n_hairpins_UTR5,174.0,0.03691279888153076
struct_n_bifurc_UTR5,173.0,0.07648029923439026
struct_n_bulges_UTR5,165.0,1.215202884376049
struct_start_stem_UTR5,146.0,2.7439878255128862
struct_max_stem_len_UTR5,148.0,2.673756892234087
struct_max_loop_len_UTR5,161.0,1.6472805932164192
struct_min_dG_CDS,60.0,6.348609035462141
struct_n_hairpins_CDS,170.0,0.8002897046506405
struct_n_bifurc_CDS,172.0,0.12679073885083197
struct_n_bulges_CDS,171.0,0.44302080273628236
struct_start_stem_CDS,120.0,3.9441986948251726
struct_max_stem_len_CDS,164.0,1.2574527896940708
struct_max_loop_len_CDS,167.0,1.1184353984892368
