,bio_source,fold,r2_score,pearsonr,spearmanr,mean_squared_error,total_time(sec)
0,mean_te,0,0.3795548712433985,0.6186867466491488,0.5995354714905864,0.44433358013979996,5.87547492980957
1,mean_te,1,0.417556490062854,0.648373873733886,0.6159878194582169,0.423105729174865,5.86970067024231
2,mean_te,2,0.4787249399910166,0.6946085537265917,0.6728649237222034,0.4018988940405379,5.875708103179932
3,mean_te,3,0.4291504408187543,0.6551254703087996,0.6402142980750417,0.43385254518592004,5.8810741901397705
4,mean_te,4,0.40207171231304495,0.6354105733280135,0.6184222673654934,0.43265205505892806,5.982419013977051
5,mean_te,5,0.4814263257072955,0.696569347034817,0.6709969872019632,0.41046989098807274,5.900136709213257
6,mean_te,6,0.4649522128464255,0.6829770009660001,0.648115352472052,0.4066778808078841,5.916133642196655
7,mean_te,7,0.4742488884314455,0.6912981246304182,0.675835429193369,0.42164495420467624,5.903559684753418
8,mean_te,8,0.42622343283743425,0.6530424299712791,0.6449499823880226,0.44407716096770483,5.897276878356934
9,mean_te,9,0.4585033717734014,0.6787927765472379,0.6574707465662696,0.43495003422262524,5.901976585388184
10,mean_te,mean,0.441241268602507,0.6654884896896192,0.6444393277933218,0.4253662724791014,5.900346040725708
