,bio_source,fold,r2_score,pearsonr,spearmanr,mean_squared_error,total_time(sec)
0,mean_te,0,0.5867064438315613,0.767394086092235,0.762444788569524,0.32260095875521666,5.786434888839722
1,mean_te,1,0.5860813808613221,0.7670738606813756,0.7720522875499035,0.29429740667799886,5.808785915374756
2,mean_te,2,0.5718655146049275,0.7574337788060768,0.7597095604723239,0.3390364425589519,5.791498899459839
3,mean_te,3,0.599156731665472,0.7746181038953361,0.7730117498602211,0.30794147168614994,5.786202430725098
4,mean_te,4,0.5911592730515571,0.7696302908936808,0.7722512198347389,0.31525540251871015,5.884446620941162
5,mean_te,5,0.520549378638512,0.7228104741851429,0.7310801568898337,0.3250703659443313,5.77905535697937
6,mean_te,6,0.6077076540314312,0.7805189696824346,0.7876159620305038,0.28511546123078796,5.80287504196167
7,mean_te,7,0.5976229615738977,0.7735663279471248,0.7672993033154123,0.31509918303979473,5.804187297821045
8,mean_te,8,0.5202487341419023,0.7241601235316248,0.7374283164281215,0.31401742497491597,5.824970722198486
9,mean_te,9,0.5930097040447511,0.7721622275355277,0.7714994026453067,0.3011254575772891,5.810322999954224
10,mean_te,mean,0.5774107776445334,0.7609368243250559,0.7634392747595891,0.3119559574964147,5.807878017425537
