,bio_source,fold,r2_score,pearsonr,spearmanr,mean_squared_error,total_time(sec)
0,mean_te,0,0.3887955562362897,0.6245600460685534,0.6092712434136651,0.43771583675600717,198.9312562942505
1,mean_te,1,0.4119734019190555,0.6439854179276143,0.6135842888765343,0.4271614642630358,198.7635886669159
2,mean_te,2,0.453469977853895,0.6762809501844911,0.6677108366864543,0.4213702674681673,198.216628074646
3,mean_te,3,0.44606441518382267,0.6689044115556195,0.6551896816622096,0.4209977208114924,198.2516508102417
4,mean_te,4,0.41266702583644677,0.6434424639124628,0.625094419210651,0.424985443085063,197.65548157691956
5,mean_te,5,0.4691487543933396,0.687950674213692,0.6556591337973642,0.420188034443217,197.04222702980042
6,mean_te,6,0.43136354502568564,0.658647876582029,0.6200415511705202,0.4322078775230703,199.5388207435608
7,mean_te,7,0.47494844888517807,0.69426074884893,0.6791803989750461,0.42108391661676237,198.8936321735382
8,mean_te,8,0.3919057523645162,0.6263434451254761,0.6125165477942258,0.47063749644946473,198.6745319366455
9,mean_te,9,0.43757884002814995,0.6636764860422713,0.6439459584647843,0.4517573887365319,198.65820002555847
10,mean_te,mean,0.4317915717726379,0.6588052520461141,0.6382194060051456,0.4328105446152811,198.4626017332077
