,rank,mean_importance
3mer_freq_5_GCA,75.0,5.587921305000782
3mer_freq_5_GCT,69.0,5.79696254581213
3mer_freq_5_GCG,67.0,5.842911372333765
3mer_freq_5_GCC,130.0,3.1341760344803333
3mer_freq_5_CAA,150.0,2.2410513322800396
3mer_freq_5_CAT,147.0,2.620468221232295
3mer_freq_5_CAG,6.0,20.38859786838293
3mer_freq_5_CAC,37.0,8.206105676665903
3mer_freq_5_CTA,157.0,1.6374934017658234
3mer_freq_5_CTT,80.0,5.303502704203129
3mer_freq_5_CTG,21.0,12.176547636836768
3mer_freq_5_CTC,117.0,3.7479435727000237
3mer_freq_5_CGA,109.0,4.104850902780891
3mer_freq_5_CGT,58.0,6.4651536382734776
3mer_freq_5_CGG,40.0,7.631345520913601
3mer_freq_5_CGC,110.0,4.0045137912034985
3mer_freq_5_CCA,79.0,5.327871416509152
3mer_freq_5_CCT,134.0,2.9882766976952553
3mer_freq_5_CCG,53.0,6.87467477209866
3mer_freq_5_CCC,32.0,9.428605945780873
